scenario_id,seed_start,seed_end,n_seeds,component
S1A-0001,151019001,151019100,100,1A
S1A-0002,151019001,151019100,100,1A
S1A-0003,151019001,151019100,100,1A
S1A-0004,48822001,48822100,100,1A
S1A-0005,48822001,48822100,100,1A
S1A-0006,48822001,48822100,100,1A
S1A-0007,405337001,405337100,100,1A
S1A-0008,405337001,405337100,100,1A
S1A-0009,405337001,405337100,100,1A
S1A-0010,139257001,139257100,100,1A
S1A-0011,139257001,139257100,100,1A
S1A-0012,139257001,139257100,100,1A
S1A-0013,636125001,636125100,100,1A
S1A-0014,636125001,636125100,100,1A
S1A-0015,636125001,636125100,100,1A
S1A-0016,323418001,323418100,100,1A
S1A-0017,323418001,323418100,100,1A
S1A-0018,323418001,323418100,100,1A
S1A-0019,174171001,174171100,100,1A
S1A-0020,174171001,174171100,100,1A
S1A-0021,174171001,174171100,100,1A
S1A-0022,599978001,599978100,100,1A
S1A-0023,599978001,599978100,100,1A
S1A-0024,599978001,599978100,100,1A
S1A-0025,168451001,168451100,100,1A
S1A-0026,168451001,168451100,100,1A
S1A-0027,168451001,168451100,100,1A
S1A-0028,925762001,925762100,100,1A
S1A-0029,925762001,925762100,100,1A
S1A-0030,925762001,925762100,100,1A
S1A-0031,644552001,644552100,100,1A
S1A-0032,644552001,644552100,100,1A
S1A-0033,644552001,644552100,100,1A
S1A-0034,862107001,862107100,100,1A
S1A-0035,862107001,862107100,100,1A
S1A-0036,862107001,862107100,100,1A
S1A-0037,813325001,813325100,100,1A
S1A-0038,813325001,813325100,100,1A
S1A-0039,813325001,813325100,100,1A
S1A-0040,324643001,324643100,100,1A
S1A-0041,324643001,324643100,100,1A
S1A-0042,324643001,324643100,100,1A
S1A-0043,681749001,681749100,100,1A
S1A-0044,681749001,681749100,100,1A
S1A-0045,681749001,681749100,100,1A
S1A-0046,659087001,659087100,100,1A
S1A-0047,659087001,659087100,100,1A
S1A-0048,659087001,659087100,100,1A
S1A-0049,201622001,201622100,100,1A
S1A-0050,201622001,201622100,100,1A
S1A-0051,201622001,201622100,100,1A
S1A-0052,192574001,192574100,100,1A
S1A-0053,192574001,192574100,100,1A
S1A-0054,192574001,192574100,100,1A
S1A-0055,472481001,472481100,100,1A
S1A-0056,472481001,472481100,100,1A
S1A-0057,472481001,472481100,100,1A
S1A-0058,479271001,479271100,100,1A
S1A-0059,479271001,479271100,100,1A
S1A-0060,479271001,479271100,100,1A
S1A-0061,714703001,714703100,100,1A
S1A-0062,714703001,714703100,100,1A
S1A-0063,714703001,714703100,100,1A
S1A-0064,630974001,630974100,100,1A
S1A-0065,630974001,630974100,100,1A
S1A-0066,630974001,630974100,100,1A
S1A-0067,735067001,735067100,100,1A
S1A-0068,735067001,735067100,100,1A
S1A-0069,735067001,735067100,100,1A
S1A-0070,440821001,440821100,100,1A
S1A-0071,440821001,440821100,100,1A
S1A-0072,440821001,440821100,100,1A
S1A-0073,149862001,149862100,100,1A
S1A-0074,149862001,149862100,100,1A
S1A-0075,149862001,149862100,100,1A
S1A-0076,972543001,972543100,100,1A
S1A-0077,972543001,972543100,100,1A
S1A-0078,972543001,972543100,100,1A
S1A-0079,285010001,285010100,100,1A
S1A-0080,285010001,285010100,100,1A
S1A-0081,285010001,285010100,100,1A
S1A-0082,570096001,570096100,100,1A
S1A-0083,570096001,570096100,100,1A
S1A-0084,570096001,570096100,100,1A
S1A-0085,238764001,238764100,100,1A
S1A-0086,238764001,238764100,100,1A
S1A-0087,238764001,238764100,100,1A
S1A-0088,962775001,962775100,100,1A
S1A-0089,962775001,962775100,100,1A
S1A-0090,962775001,962775100,100,1A
S1A-0091,305529001,305529100,100,1A
S1A-0092,305529001,305529100,100,1A
S1A-0093,305529001,305529100,100,1A
S1A-0094,252873001,252873100,100,1A
S1A-0095,252873001,252873100,100,1A
S1A-0096,252873001,252873100,100,1A
S1C-0001,735617001,735617050,50,1C_exact
S1C-0003,109339001,109339050,50,1C_exact
S1C-0005,656678001,656678050,50,1C_exact
S1C-0007,686182001,686182050,50,1C_exact
S1C-0009,448332001,448332050,50,1C_exact
S1C-0011,729284001,729284050,50,1C_exact
S1C-0013,735617001,735617050,50,1C_exact
S1C-0015,109339001,109339050,50,1C_exact
S1C-0017,656678001,656678050,50,1C_exact
S1C-0019,686182001,686182050,50,1C_exact
S1C-0021,448332001,448332050,50,1C_exact
S1C-0023,729284001,729284050,50,1C_exact
S1C-0025,735617001,735617050,50,1C_exact
S1C-0027,109339001,109339050,50,1C_exact
S1C-0029,656678001,656678050,50,1C_exact
S1C-0031,686182001,686182050,50,1C_exact
S1C-0033,448332001,448332050,50,1C_exact
S1C-0035,729284001,729284050,50,1C_exact
S1C-0037,735617001,735617050,50,1C_exact
S1C-0039,109339001,109339050,50,1C_exact
S1C-0041,656678001,656678050,50,1C_exact
S1C-0043,686182001,686182050,50,1C_exact
S1C-0045,448332001,448332050,50,1C_exact
S1C-0047,729284001,729284050,50,1C_exact
S1C-0001,735617001,735617050,50,1C_finite
S1C-0002,735617001,735617050,50,1C_finite
S1C-0003,109339001,109339050,50,1C_finite
S1C-0004,109339001,109339050,50,1C_finite
S1C-0005,656678001,656678050,50,1C_finite
S1C-0006,656678001,656678050,50,1C_finite
S1C-0007,686182001,686182050,50,1C_finite
S1C-0008,686182001,686182050,50,1C_finite
S1C-0009,448332001,448332050,50,1C_finite
S1C-0010,448332001,448332050,50,1C_finite
S1C-0011,729284001,729284050,50,1C_finite
S1C-0012,729284001,729284050,50,1C_finite
S1C-0013,735617001,735617050,50,1C_finite
S1C-0014,735617001,735617050,50,1C_finite
S1C-0015,109339001,109339050,50,1C_finite
S1C-0016,109339001,109339050,50,1C_finite
S1C-0017,656678001,656678050,50,1C_finite
S1C-0018,656678001,656678050,50,1C_finite
S1C-0019,686182001,686182050,50,1C_finite
S1C-0020,686182001,686182050,50,1C_finite
S1C-0021,448332001,448332050,50,1C_finite
S1C-0022,448332001,448332050,50,1C_finite
S1C-0023,729284001,729284050,50,1C_finite
S1C-0024,729284001,729284050,50,1C_finite
S1C-0025,735617001,735617050,50,1C_finite
S1C-0026,735617001,735617050,50,1C_finite
S1C-0027,109339001,109339050,50,1C_finite
S1C-0028,109339001,109339050,50,1C_finite
S1C-0029,656678001,656678050,50,1C_finite
S1C-0030,656678001,656678050,50,1C_finite
S1C-0031,686182001,686182050,50,1C_finite
S1C-0032,686182001,686182050,50,1C_finite
S1C-0033,448332001,448332050,50,1C_finite
S1C-0034,448332001,448332050,50,1C_finite
S1C-0035,729284001,729284050,50,1C_finite
S1C-0036,729284001,729284050,50,1C_finite
S1C-0037,735617001,735617050,50,1C_finite
S1C-0038,735617001,735617050,50,1C_finite
S1C-0039,109339001,109339050,50,1C_finite
S1C-0040,109339001,109339050,50,1C_finite
S1C-0041,656678001,656678050,50,1C_finite
S1C-0042,656678001,656678050,50,1C_finite
S1C-0043,686182001,686182050,50,1C_finite
S1C-0044,686182001,686182050,50,1C_finite
S1C-0045,448332001,448332050,50,1C_finite
S1C-0046,448332001,448332050,50,1C_finite
S1C-0047,729284001,729284050,50,1C_finite
S1C-0048,729284001,729284050,50,1C_finite
