contrast_id,encoder_a,encoder_b,learner,metric,n_scenarios,estimate,ci_low,ci_high,mcse,p_raw,p_bh,in_bh_family,notes
C1,onehot,hash_shared,bayes_z_oracle,logloss,96,-0.046565237619694076,-0.05209744735755656,-0.041033027881831594,0.0028225559887053464,,,True,"1A exact. exact arm: deterministic, no p-value"
C2,hash_column,hash_shared,bayes_z_oracle,logloss,96,-0.0323092724727956,-0.03612532300360759,-0.028493221941983615,0.0019469645565367269,,,True,"1A exact. exact arm: deterministic, no p-value"
C3,onehot,count_pop,bayes_z_oracle,logloss,96,-0.03151079910900557,-0.039510530944843844,-0.023511067273167287,0.004081495834611367,,,True,"1A exact. exact arm: deterministic, no p-value"
C5,designed_merge d=0.3,designed_merge d=0,bayes_z_oracle,logloss,3200,0.04169270451060223,0.041417103526820084,0.04196830549438438,0.00014061274682762722,,,False,"1A exact; construction identity, excluded from the BH family. exact arm: deterministic, no p-value"
C4,target,onehot,bayes_z_oracle,logloss,288,0.0028390333664232792,0.0019493591308610654,0.003728707601985493,0.0004539154263072519,1.4428892212431871e-09,3.366741516234103e-09,True,1B.
C6,n_train=5000,n_train=500,lightgbm,logloss,2400,-0.14086442231226418,-0.142502528807323,-0.13922631581720535,0.000835768619927977,0.0,0.0,True,1B; H5.
C7,n_train=5000,n_train=500,mlp,logloss,2400,-0.0019800662736501307,-0.00403585805123399,7.572550393372852e-05,0.0010488733559101324,0.02958649515014449,0.05177636651275286,True,1B; H5.
C8,n_train=5000,n_train=500,logistic,logloss,2400,-0.10746871294854804,-0.11107689548748553,-0.10386053040961055,0.0018409094586415789,0.0,0.0,True,1B; H5.
C9,target Zipf CV,uniform CV,bayes_z_oracle,logloss,48,-0.05086490505100442,-0.08259104482266855,-0.01913876527934029,0.016186806005951085,0.9985501548542933,0.9999380405766727,True,1B; H6 coefficient of variation.
C10,woe Zipf CV,uniform CV,bayes_z_oracle,logloss,48,-0.09375318104116996,-0.13766366258242313,-0.04984269949991678,0.022403306908802646,0.9999380405766727,0.9999380405766727,True,1B; H6 coefficient of variation.
C11,ordered_catboost_sim Zipf CV,uniform CV,bayes_z_oracle,logloss,48,-0.050279737822628734,-0.08218215124007205,-0.01837732440518542,0.016276741539511894,0.9983164229323583,0.9999380405766727,True,1B; H6 coefficient of variation.
