simulation,scenario_id,replicate,parameter_json,selection_rule_or_encoder,metric,value,theoretical_value,mcse,tolerance,criterion_id,criterion_pass,status,seed,notes
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,oracle_optimism_mean,0.004252756069611396,0.0074115190368375565,3.70886460017415e-05,0.0001112659380052245,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,regret_mean,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,p_select_best,1.0,,1.0,3.0,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,reporting_bias_mean,1.0412458538403954e-05,,4.965110297424757e-05,0.0001489533089227427,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,winner_instability,0.6608,,0.6608,1.9824000000000002,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-001,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,oracle_bound_ratio,0.5738035682663534,,0.5738035682663534,1.72141070479906,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1001,
sim2,S2-002,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,oracle_optimism_mean,0.003058062190603356,0.0074115190368375565,3.772676217413198e-05,0.00011318028652239593,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1002,
sim2,S2-002,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,regret_mean,0.0010906,,9.959371612119451e-06,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1002,
sim2,S2-002,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,p_select_best,0.4547,,0.4547,1.3641,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1002,
