panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-001,3.0,0.005,0.0,all_equal,oracle_optimism_mean,0.0042527560696113,0.0074115190368375,3.70886460017415e-05
A/B,S2-001,3.0,0.005,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-001,3.0,0.005,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-001,3.0,0.005,0.0,all_equal,reporting_bias_mean,1.0412458538403954e-05,,4.965110297424757e-05
A/B,S2-001,3.0,0.005,0.0,all_equal,winner_instability,0.6608,,0.6608
A/B,S2-001,3.0,0.005,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-001,3.0,0.005,0.0,all_equal,oracle_bound_ratio,0.5738035682663534,,0.5738035682663534
A/B,S2-005,3.0,0.005,0.5,all_equal,oracle_optimism_mean,0.0030114138439531,0.0074115190368375,4.3680965510364525e-05
A/B,S2-005,3.0,0.005,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-005,3.0,0.005,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-005,3.0,0.005,0.5,all_equal,reporting_bias_mean,-3.312538480286409e-06,,4.980020748413384e-05
A/B,S2-005,3.0,0.005,0.5,all_equal,winner_instability,0.6616,,0.6616
A/B,S2-005,3.0,0.005,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-005,3.0,0.005,0.5,all_equal,oracle_bound_ratio,0.4063153354913426,,0.4063153354913426
A/B,S2-009,3.0,0.005,0.9,all_equal,oracle_optimism_mean,0.0013589129053467,0.0074115190368375,4.893484329338569e-05
A/B,S2-009,3.0,0.005,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-009,3.0,0.005,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-009,3.0,0.005,0.9,all_equal,reporting_bias_mean,2.5182798681263663e-05,,5.0131422621785554e-05
A/B,S2-009,3.0,0.005,0.9,all_equal,winner_instability,0.6549,,0.6549
A/B,S2-009,3.0,0.005,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-009,3.0,0.005,0.9,all_equal,oracle_bound_ratio,0.1833514693266723,,0.1833514693266723
A/B,S2-013,3.0,0.01,0.0,all_equal,oracle_optimism_mean,0.0084949342363148,0.0148230380736751,7.544235349539154e-05
A/B,S2-013,3.0,0.01,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-013,3.0,0.01,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-013,3.0,0.01,0.0,all_equal,reporting_bias_mean,-4.8317944967749136e-05,,9.941638567917424e-05
A/B,S2-013,3.0,0.01,0.0,all_equal,winner_instability,0.6628000000000001,,0.6628000000000001
A/B,S2-013,3.0,0.01,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-013,3.0,0.01,0.0,all_equal,oracle_bound_ratio,0.5730899559248486,,0.5730899559248486
A/B,S2-017,3.0,0.01,0.5,all_equal,oracle_optimism_mean,0.0060181579628551,0.0148230380736751,8.87361153147488e-05
A/B,S2-017,3.0,0.01,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-017,3.0,0.01,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-017,3.0,0.01,0.5,all_equal,reporting_bias_mean,3.834289621594407e-05,,9.965521434541533e-05
A/B,S2-017,3.0,0.01,0.5,all_equal,winner_instability,0.6598999999999999,,0.6598999999999999
A/B,S2-017,3.0,0.01,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-017,3.0,0.01,0.5,all_equal,oracle_bound_ratio,0.4060003039149635,,0.4060003039149635
A/B,S2-021,3.0,0.01,0.9,all_equal,oracle_optimism_mean,0.0027188856667049,0.0148230380736751,9.76728810470311e-05
A/B,S2-021,3.0,0.01,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-021,3.0,0.01,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-021,3.0,0.01,0.9,all_equal,reporting_bias_mean,5.976419523707204e-05,,9.966527906326302e-05
A/B,S2-021,3.0,0.01,0.9,all_equal,winner_instability,0.6656,,0.6656
