layer,operation,d_active,configuration,repeats,median_elapsed_s,cpu_s,peak_rss_mb,output_bytes,status,notes
env,host,,macOS-26.2-arm64-arm-64bit py3.11.9 cores=8,0,0,0,172.8,0,SUCCESS,A0 timing probe; not an addendum result
unit,M1_draw_params_plus_eta_table,3,d3,3,0.00024,0.000752,172.8,0,SUCCESS,eta table cells = K**d = 64
unit,M2_sample_records,3,d3_n5000,3,0.003291,0.010536,172.8,5000,SUCCESS,
unit,M2_sample_records,3,d3_n50000,3,0.03243,0.099113,198.2,50000,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_label_n500,1,0.004116,0.002049,198.8,0,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_label_n5000,1,0.006794,0.006797,198.9,0,SUCCESS,
unit,M3_ebar_coordinatewise,3,d3_label,3,0.001195,0.003972,199.0,512,SUCCESS,probe rows = d*K = 12
unit,M5_oof_plus_full_fit,3,d3_onehot_n500,1,0.000874,0.000877,199.1,0,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_onehot_n5000,1,0.005278,0.005282,199.2,0,SUCCESS,
unit,M3_ebar_coordinatewise,3,d3_onehot,3,0.001084,0.003249,199.2,512,SUCCESS,probe rows = d*K = 12
unit,M5_oof_plus_full_fit,3,d3_count_n500,1,0.002859,0.002169,199.3,0,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_count_n5000,1,0.005052,0.005057,199.3,0,SUCCESS,
unit,M3_ebar_coordinatewise,3,d3_count,3,0.00117,0.00356,199.4,512,SUCCESS,probe rows = d*K = 12
unit,M5_oof_plus_full_fit,3,d3_target_n500,1,0.017363,0.015681,199.8,0,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_target_n5000,1,0.0247,0.024705,201.6,0,SUCCESS,
unit,M3_ebar_coordinatewise,3,d3_target,3,0.001187,0.003569,201.6,512,SUCCESS,probe rows = d*K = 12
unit,M5_oof_plus_full_fit,3,d3_woe_n500,1,0.023166,0.02314,201.6,0,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_woe_n5000,1,0.032135,0.03214,201.6,0,SUCCESS,
unit,M3_ebar_coordinatewise,3,d3_woe,3,0.001132,0.003395,201.6,512,SUCCESS,probe rows = d*K = 12
unit,M5_oof_plus_full_fit,3,d3_ordered_catboost_sim_n500,1,0.017711,0.015284,201.6,0,SUCCESS,
unit,M5_oof_plus_full_fit,3,d3_ordered_catboost_sim_n5000,1,0.355361,0.14407,201.7,0,SUCCESS,
unit,M3_ebar_coordinatewise,3,d3_ordered_catboost_sim,3,0.001646,0.004571,201.7,512,SUCCESS,probe rows = d*K = 12
unit,M5_oof_plus_full_fit,3,d3_homals_n500,1,0.04531,0.043584,201.7,0,SUCCESS,
