arm,component,scenario_id,replicate,seed,d_active,M,K,marginal,tau,interaction_count,delta_eta,n_train,encoder,bucket_width,width_label,reference_log_gap,reference_brier_gap,production_log_gap,production_brier_gap,log_identity_error,brier_identity_error,prod_ref_log_abs_diff,prod_ref_brier_abs_diff,production_self_identity_error_log,production_self_identity_error_brier,fiber_count,stored_fiber_count,fiber_count_match,stored_representation_loss_log_mc,stored_representation_loss_brier_mc,stored_mcse_log,stored_mcse_brier,stored_abs_diff_log_mc,stored_abs_diff_brier_mc,stored_mc_tolerance_log,stored_mc_tolerance_brier,stored_mc_within_tolerance,recomputed_fiber_fingerprint,stored_fiber_fingerprint,fiber_fingerprint_match,tolerance,within_tolerance,injected_defect,status,notes
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,label,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,onehot,,,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,64,64,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,count,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,hash_column,10,B0,0.006973608785218244,0.0034581862126483176,0.006973608785218022,0.003458186212647374,2.688821387764051e-16,9.250412935646324e-16,2.220446049250313e-16,9.43689570931383e-16,3.8163916471489756e-17,8.673617379884035e-18,240,240,1,0.0069348691443941,0.0034391271172371,3.2595069673029846e-05,1.6122361017259638e-05,3.873964082392201e-05,1.9059095410273955e-05,0.00019557141803817907,9.673516610355783e-05,1,5b594384085afae80cb1cab187c36bd5,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,hash_column,20,B1,0.005572412597734888,0.0027602102902718195,0.005572412597735443,0.0027602102902707926,5.342948306008566e-16,1.0334615108131828e-15,5.551115123125783e-16,1.0269562977782698e-15,1.0408340855860843e-17,9.974659986866641e-18,363,363,1,0.0055632378059702,0.0027558848418,2.565659589951307e-05,1.2703451429136489e-05,9.17479176524346e-06,4.325448470792522e-06,0.0001539405753970784,7.622170857481894e-05,1,3d2825b7d92099ed8ceb9ba050d5d390,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,hash_column,40,B2,0.005385047963456513,0.002666857481180729,0.0053850479634584,0.002666857481180701,1.902124291408569e-15,4.423544863740858e-17,1.887379141862766e-15,2.7755575615628914e-17,8.673617379884035e-18,1.8214596497756474e-17,768,768,1,0.0053792637317245,0.0026642123010917,2.413749063608587e-05,1.1956077291937713e-05,5.7842317339002955e-06,2.6451800890009078e-06,0.00014482594381651521,7.173746375162627e-05,1,3cf89093468c271e1bf273e2d0b3e30c,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,hash_shared,10,B0,0.007375297660381919,0.0036584557527657435,0.0073752976603811415,0.0036584557527649664,8.023096076392733e-16,7.494005416219807e-16,7.771561172376096e-16,7.771561172376096e-16,2.7755575615628914e-17,1.9949319973733282e-17,56,56,1,0.0073385525000656,0.0036403644765589,4.045760120697973e-05,2.002161526586291e-05,3.674516031554158e-05,1.8091276206066292e-05,0.00024274660724187837,0.00012013069159517747,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,hash_shared,20,B1,0.007375297660381919,0.0036584557527657435,0.0073752976603811415,0.0036584557527649664,8.023096076392733e-16,7.494005416219807e-16,7.771561172376096e-16,7.771561172376096e-16,2.7755575615628914e-17,1.9949319973733282e-17,56,56,1,0.0073385525000656,0.0036403644765589,4.045760120697973e-05,2.002161526586291e-05,3.674516031554158e-05,1.8091276206066292e-05,0.00024274660724187837,0.00012013069159517747,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,hash_shared,40,B2,0.007375297660381919,0.0036584557527657435,0.0073752976603811415,0.0036584557527649664,8.023096076392733e-16,7.494005416219807e-16,7.771561172376096e-16,7.771561172376096e-16,2.7755575615628914e-17,1.9949319973733282e-17,56,56,1,0.0073385525000656,0.0036403644765589,4.045760120697973e-05,2.002161526586291e-05,3.674516031554158e-05,1.8091276206066292e-05,0.00024274660724187837,0.00012013069159517747,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0001,1,149962001,3,5,4,uniform,0.5,0,0.0,500,target,,,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,64,64,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
