M,K,n_train,encoder,learner,encoded_width,eta_table_s,encode_s,fit_s,eval_s,cell_s,peak_rss_mb,learner_shortfall_sanity,status
5,4,500,label,logistic,5,0.000305,0.0033,0.0605,0.054,0.1156,202.7,0.074548,SUCCESS
5,4,500,label,lightgbm,5,0.000305,0.0033,0.0696,0.6367,0.7073,212.7,0.09443,SUCCESS
5,4,500,label,mlp,5,0.000305,0.0033,0.028,0.0596,0.0887,220.9,0.079894,SUCCESS
5,4,500,onehot,logistic,25,0.000305,0.0009,0.0012,0.0427,0.0441,224.2,0.071109,SUCCESS
5,4,500,onehot,lightgbm,25,0.000305,0.0009,0.0204,0.6886,0.7093,224.5,0.080667,SUCCESS
5,4,500,onehot,mlp,25,0.000305,0.0009,0.0335,0.0486,0.0825,224.8,0.072272,SUCCESS
5,4,500,count,logistic,5,0.000305,0.0034,0.0011,0.0289,0.0311,225.0,0.075082,SUCCESS
5,4,500,count,lightgbm,5,0.000305,0.0034,0.0191,0.579,0.5993,225.0,0.09701,SUCCESS
5,4,500,count,mlp,5,0.000305,0.0034,0.0296,0.035,0.0656,225.1,0.082617,SUCCESS
5,4,500,hash_column,logistic,20,0.000305,0.0006,0.0014,0.0573,0.0589,225.1,0.088222,SUCCESS
5,4,500,hash_column,lightgbm,20,0.000305,0.0006,0.0199,0.5879,0.608,225.5,0.102705,SUCCESS
5,4,500,hash_column,mlp,20,0.000305,0.0006,0.0304,0.0616,0.0922,225.6,0.102228,SUCCESS
5,4,500,hash_shared,logistic,20,0.000305,0.0006,0.0011,0.0555,0.0568,225.6,0.109706,SUCCESS
5,4,500,hash_shared,lightgbm,20,0.000305,0.0006,0.0178,0.4502,0.4683,225.7,0.149672,SUCCESS
5,4,500,hash_shared,mlp,20,0.000305,0.0006,0.0167,0.0617,0.0786,225.7,0.123074,SUCCESS
5,4,500,target,logistic,5,0.000305,0.017,0.001,0.0308,0.0375,226.1,0.080164,SUCCESS
5,4,500,target,lightgbm,5,0.000305,0.017,0.0228,0.797,0.8255,226.6,0.161424,SUCCESS
5,4,500,target,mlp,5,0.000305,0.017,0.0337,0.0371,0.0764,226.6,0.079032,SUCCESS
5,4,500,woe,logistic,5,0.000305,0.024,0.001,0.0297,0.0387,226.7,0.07756,SUCCESS
5,4,500,woe,lightgbm,5,0.000305,0.024,0.0238,0.801,0.8328,226.8,0.185012,SUCCESS
5,4,500,woe,mlp,5,0.000305,0.024,0.0393,0.035,0.0823,226.8,0.075757,SUCCESS
