prompt_input_name,resolved_path,role,requirement,present,size_bytes,sha256,notes
CT2I_STUDENT_SIMULATION_ONLY_EXPERIMENT_PLAN.md,CT2I_STUDENT_SIMULATION_ONLY_EXPERIMENT_PLAN.md,authoritative_scientific_specification,required,YES,17290,68bf6ffb0a43e59cb8777beb62192139d7f41d0ae967fb173a78e2b35b470ff7,
CT2I_STUDENT_SIMULATION_EXECUTION_PROMPT.md,CT2I_STUDENT_SIMULATION_EXECUTION_PROMPT.md,execution_prompt,required,YES,6369,8ded31675dec8002380290a26a37c79b1ae18c55164a2c97d8a1e5da6f58cbd9,
ct2i_main_revised_clean.tex,manuscript_reference/ct2i_main_revised_clean.tex,main_manuscript_READ_ONLY,required,YES,51167,d06ee1390e3b24cee547f9a0099fbb478ec0268affe176ad6e728eeba117a2c4,
ct2i_main_revised_clean.pdf,manuscript_reference/ct2i_main_revised_clean.pdf,main_manuscript_READ_ONLY,required,YES,390180,e98ff7f585298f5c95f5ec295c5c7f315f832e0ae90bb4116d087b07344d845a,
ct2i_supp_revised_clean.tex,manuscript_reference/ct2i_supp_revised_clean.tex,supplement_READ_ONLY,required,YES,196993,cdfe3664315ad9a184ecb70d0ecd7cc5b25850e88c007cde92a227be32a10018,
ct2i_supp_revised_clean.pdf,manuscript_reference/ct2i_supp_revised_clean.pdf,supplement_READ_ONLY,required,YES,1727630,f576ef10f5af5000b8c9993aaa61cf00fa7171a9bfdb0bf5b02331b6c128b78c,
CT2I_SIMULATION_PLACEHOLDER_REGISTER.csv,manuscript_reference/CT2I_SIMULATION_PLACEHOLDER_REGISTER.csv,combined_placeholder_register,required,YES,4710,e2f628ba166a539b1cfdfd5c5a94786ec315ef6b9114d266647feaf547c72cba,
20_SIMULATION_PROTOCOLS_AND_SUMMARY.md,simulation2_authoritative/20_SIMULATION_PROTOCOLS_AND_SUMMARY.md,stage2_authoritative_summary_READ_ONLY,required,YES,4588,1d84986dae2cc2c92016236c2a6a18297d005e06e7d6419abe40765541a3406c,
21_SIMULATION_RESULTS.csv,simulation2_authoritative/21_SIMULATION_RESULTS.csv,stage2_authoritative_raw_results_READ_ONLY,required,YES,354176,2d770c4be072537d3bdb0de13d6be697ceac83a4419600a71104d986e647674c,
simulation_protocols.yaml,simulation2_authoritative/simulation_protocols.yaml,stage2_frozen_protocol_READ_ONLY,required,YES,2215,42530e748914cd229dd117ee2c42b7dc8f88943bc59f30df4e2367f58ee4dd18,
configs/simulation_protocols.yaml,configs/simulation_protocols.yaml,stage2_frozen_protocol_repo_copy,required,YES,2215,42530e748914cd229dd117ee2c42b7dc8f88943bc59f30df4e2367f58ee4dd18,
configs/pilot_cpu_frozen.yaml,configs/pilot_cpu_frozen.yaml,stage2_frozen_cpu_matrix_context,supporting,YES,2594,4435857597f1a35352ea6ceb979f905f3d132fc3f7b0243fa14d4443da2569be,
MAIN_SIMULATION_PLACEHOLDER_REGISTER.csv,MAIN_SIMULATION_PLACEHOLDER_REGISTER.csv,fallback_placeholder_register_not_needed,fallback,NO,,,"combined register present, fallback not required"
HANDOFF_SHA256SUMS.txt,HANDOFF_SHA256SUMS.txt,supplied_handoff_checksums,supporting,YES,487,4326fe87c60a0c3576f740e7aded44222d59802634364254bb08112158c4c3e8,
requirements.lock.txt,requirements.lock.txt,environment_lock,supporting,YES,1211,f2761438e0f9c1d553526eb1bbb098ffafd697032b16eae1568fc403117056ad,
REPOSITORY_ORIGIN,https://github.com/hanmingwu1103/ct2i-benchmark.git,repository_fact,verification,,,,active repository
REQUIRED_BASELINE_COMMIT,7f6b62035951df7d032d0a3eab04cb3c9b0328b4,repository_fact,verification,,,,object type=commit
BASELINE_PRESENT_IN_ACTIVE_REPO,YES,repository_fact,verification,,,,
WORKING_BRANCH,simulation-only/manuscript-revision,repository_fact,verification,,,,created from the required baseline
BRANCH_MERGE_BASE_IS_BASELINE,YES,repository_fact,verification,,,,
HEAD_AT_MANIFEST_TIME,7f6b62035951df7d032d0a3eab04cb3c9b0328b4,repository_fact,verification,,,,
WORKTREE_CLEAN_AT_BRANCH_CREATION,NO,repository_fact,verification,,,,dirty entries are Phase S0 outputs only
HISTORICAL_REPOSITORY,https://github.com/cph354001/cT2I,repository_fact,verification,,,,"READ-ONLY; not cloned, not modified, not required for Phase S0"
REAL_DATA_FILES_TOUCHED,0,repository_fact,verification,,,,no real dataset/model/image was read or written
