operation,component,configuration,repeats,median_elapsed_s,cpu_s_last_rep,peak_rss_mb,output_bytes,status,notes
sim1a_exact_cell,1A,M3_K3_designed_merge,3,0.000328,0.000331,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K3_count_pop,3,0.000315,0.000315,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K3_hash_column,3,0.000403,0.000382,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K3_hash_shared,3,0.000318,0.00032,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K4_designed_merge,3,0.000417,0.00042,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K4_count_pop,3,0.000496,0.000498,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K4_hash_column,3,0.000616,0.000614,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M3_K4_hash_shared,3,0.000472,0.000471,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K3_designed_merge,3,0.001237,0.001215,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K3_count_pop,3,0.001495,0.001543,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K3_hash_column,3,0.001446,0.00145,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K3_hash_shared,3,0.001344,0.001328,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K4_designed_merge,3,0.00586,0.005863,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K4_count_pop,3,0.00754,0.007156,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K4_hash_column,3,0.009295,0.00925,172.5,0,SUCCESS,
sim1a_exact_cell,1A,M5_K4_hash_shared,3,0.006802,0.00681,172.5,0,SUCCESS,
sim1b_eta_table,1B,M5_K4,2,0.000168,0.000169,172.5,0,SUCCESS,
sim1b_eta_table,1B,M20_K12,2,0.00322,0.003241,172.5,0,SUCCESS,
sim1b_eta_table,1B,M20_K50,2,0.327013,0.32819,202.9,0,SUCCESS,
sim1b_sample_records,1B,M5_K4_n500,3,0.000412,0.000386,203.2,500,SUCCESS,
sim1b_sample_records,1B,M5_K4_n5000,3,0.003228,0.00323,203.2,5000,SUCCESS,
sim1b_sample_records,1B,M5_K4_n50000,3,0.031724,0.031545,223.2,50000,SUCCESS,
sim1b_sample_records,1B,M20_K12_n500,3,0.001339,0.001309,223.2,500,SUCCESS,
sim1b_sample_records,1B,M20_K12_n5000,3,0.01288,0.012738,231.5,5000,SUCCESS,
sim1b_sample_records,1B,M20_K12_n50000,3,0.129583,0.127805,321.6,50000,SUCCESS,
sim1b_sample_records,1B,M20_K50_n500,3,0.001419,0.001408,321.6,500,SUCCESS,
sim1b_sample_records,1B,M20_K50_n5000,3,0.014175,0.014185,321.6,5000,SUCCESS,
sim1b_sample_records,1B,M20_K50_n50000,3,0.142631,0.142643,334.6,50000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_label,2,0.002455,0.00086,334.6,20000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_label,2,0.047368,0.047471,334.6,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_onehot,2,0.000647,0.000619,334.6,100000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_onehot,2,0.036799,0.036829,342.9,10000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_count,2,0.001642,0.001021,343.0,20000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_count,2,0.023789,0.023878,345.0,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_hash_column,2,0.002884,0.002798,345.0,64000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_hash_column,2,0.258573,0.258681,345.0,6400000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_hash_shared,2,0.00255,0.00255,345.0,64000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_hash_shared,2,0.229151,0.229453,345.0,6400000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_target,2,0.014171,0.01182,345.3,20000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_target,2,0.02535,0.025326,345.3,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_woe,2,0.019359,0.018788,345.4,20000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_woe,2,0.023881,0.023887,345.4,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_ordered_catboost_sim,2,0.007457,0.007139,345.4,20000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_ordered_catboost_sim,2,0.025504,0.025501,345.4,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n500_homals,2,0.02959,0.027548,345.5,40000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n500_homals,2,0.066008,0.067894,349.4,4000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_label,2,0.005774,0.005592,349.5,200000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_label,2,0.047485,0.047236,349.5,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_onehot,2,0.004403,0.004387,349.5,1000000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_onehot,2,0.036891,0.036783,349.5,10000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_count,2,0.003829,0.003732,349.5,200000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_count,2,0.023616,0.02365,349.5,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_hash_column,2,0.026866,0.026617,349.5,640000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_hash_column,2,0.257476,0.257814,349.5,6400000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_hash_shared,2,0.023819,0.023616,349.5,640000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_hash_shared,2,0.239455,0.23375,349.5,6400000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_target,2,0.021063,0.020687,349.9,200000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_target,2,0.025334,0.025404,349.9,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_woe,2,0.027708,0.027873,349.9,200000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_woe,2,0.023782,0.023555,349.9,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_ordered_catboost_sim,2,0.062497,0.058899,349.9,200000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_ordered_catboost_sim,2,0.025562,0.025666,349.9,2000000,SUCCESS,
sim1b_oof_train_codes,1B,M5_K4_n5000_homals,2,0.206155,0.205551,350.0,400000,SUCCESS,
sim1b_eval_transform,1B,M5_K4_n5000_homals,2,0.061859,0.061817,350.0,4000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_label,2,0.003463,0.003151,350.0,80000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_label,2,0.197014,0.194455,350.0,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_onehot,2,0.002546,0.002567,350.0,1040000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_onehot,2,0.204972,0.181831,590.8,104000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_count,2,0.003797,0.003769,590.8,80000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_count,2,0.097309,0.096707,590.8,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_hash_column,2,0.011512,0.011505,590.8,128000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_hash_column,2,1.069306,1.059338,595.9,12800000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_hash_shared,2,0.010291,0.010265,595.9,128000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_hash_shared,2,0.927158,0.926056,595.9,12800000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_target,2,0.045994,0.046434,596.0,80000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_target,2,0.105302,0.103156,596.0,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_woe,2,0.072635,0.072252,596.0,80000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_woe,2,0.097772,0.097827,596.0,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_ordered_catboost_sim,2,0.034297,0.030445,596.0,80000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_ordered_catboost_sim,2,0.106235,0.106496,596.0,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n500_homals,2,0.128761,0.123271,596.6,160000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n500_homals,2,0.252343,0.253052,619.6,16000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n5000_label,2,0.023075,0.022993,622.1,800000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n5000_label,2,0.198303,0.195217,622.2,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n5000_onehot,2,0.019252,0.019136,622.5,10400000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n5000_onehot,2,0.175613,0.171629,622.5,104000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n5000_count,2,0.014848,0.014565,622.5,800000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n5000_count,2,0.097902,0.097113,622.5,8000000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n5000_hash_column,2,0.110965,0.109896,622.5,1280000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n5000_hash_column,2,1.054237,1.054816,622.5,12800000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n5000_hash_shared,2,0.095481,0.095583,622.5,1280000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n5000_hash_shared,2,0.947869,0.94851,622.5,12800000,SUCCESS,
sim1b_oof_train_codes,1B,M20_K12_n5000_target,2,0.08014,0.072347,622.5,800000,SUCCESS,
sim1b_eval_transform,1B,M20_K12_n5000_target,2,0.105849,0.105867,622.5,8000000,SUCCESS,
